Abigail Spears
Anne Gaelle Sidot
Anne Keothavong
Anne Kremer
Anneliese Rose
Annika Beck
Anouska Van Exel
Ansley Cargill
Antonella Serra Zanetti
Arantxa Parra Santonja
Arantxa Rus
Arantxa Sanchez Vicario
Aravane Rezai
Ariana Rahmanparast
Ariana Rodriguez
Arina Rodionova
Asa Svensson
Ashleigh Barty
Ashley Brooks
Ashley Harkleroad
Asia Muhammed
Assia Halo
Aurelija Miseviciute
Ayami Takase
Ayu Fani Damayanti
Ayumi Morita
Bahia Mouhtassine
Barbara Rittner
Barbara Schett
Barbara Schwartz
Barbora Krejcikova
Barbora Zahlavova Strycova
Bea Bielik
Beatrice Capra
Beatriz Garcia Vidagany
Belinda Bencic
Bermet Duvanaeva
Bethanie Mattek Sands
Beti Sekulovski
Bianca Botto
Bianka Lamade
Bibiane Schoofs
Bojana Jovanovski
Borka Majstorovic
Breana Stampfli
Bree Calderwood
Brenda Schultz Mccarthy
Brie Rippner
Bryanne Stewart
Cagla Buyukakcay
Caitlin Gordon
Camila Giorgi
Camila Quesada
Camila Ramazzini
Camila Vargas Gomez
Camille Pin
Cara Black
Carina Witthoeft
Carla Prieto
Carla Suarez Navarro
Carla Tiene
Carlista Mohammed
Carol Zhao
Carolina Aravena
Carolina De Los Santos
Caroline Ann Basu
Caroline Garcia
Caroline Maes
Caroline Rohde Moe
Caroline Wozniacki
Casey Dellacqua
Catalina Castano
Catherine Cartan Bellis
Cayla Cross
Cecilia Costa Melgar
Celine Beigbeder
Chanda Rubin
Chandra Capozzi
Chanel Simmonds
Chanelle Scheepers
Charlotte Roemer
Chayenne Ewijk
Chen Yee Liaw
Chia Hsien Yang
Chia Jung Chuang
Chin Bee Khoo
Chin Wei Chan
Christi Potgieter
Christina Horiatopoulos
Christina Mchale
Christina Wheeler
Christine Alford
Cindy Watson
Claire De Gubernatis
Claire Feuerstein
Clare Fong
Clarisa Fernandez
Claudine Schaul
Coco Vandeweghe
Conchita Martinez
Conchita Martinez Granados
Corina Morariu
Corinna Dentoni
Cristina Dinu
Cristina Torrens Valero
Daja Bedanova
Dalila Jakupovic
Dally Randriantefy
Danica Krstajic
Daniela Alvarez
Daniela Ciobanu
Daniela Hantuchova
Daniela Munoz Gallegos
Daniela Olivera
Daniela Ruiz
Daniela Schippers
Daniela Seguel
Daniela Trigo
Danielle Paynter
Danka Kovinic
Daria Gavrilova
Darya Kasatkina
Darya Kustova
Davilyn Godinet
Daysi Espinal
Deanna Roberts
Denisa Allertova
Denisa Chladkova
Denise Dy
Desislava Topalova
Dia Evtimova
Diana Espinal
Diana Marcinkevica
Dianne Hollands
Dijana Stojic
Dimana Krastevitch
Dinah Pfizenmaier
Dinara Safina
Domenica Gonzalez
Dominika Cibulkova
Donna Vekic
Dragana Zaric
Edina Gallovits Hall
Edita Liachoviciute
Eirini Georgatou
Ekaterina Bychkova
Ekaterina Dzehalevich
Ekaterina Ivanova
Ekaterina Makarova
Ekaterina Sysoeva
Ekaterine Gorgodze
Elaine Genovese
Elena Baltacha
Elena Bovina
Elena Dementieva
Elena Likhovtseva
Elena Tatarkova
Elena Vesnina
Eleni Daniilidou
Elina Gasanova
Elina Svitolina
Elise Tamaela
Elitsa Kostova
Elizaveta Kulichkova
Ellen Barry
Elrien De Villiers
Els Callens
Elsa Oriain
Ema Burgic
Emilie Loit
Emma Flood
Emma Hayman
Emma Laine
Emmanuelle Gagliardi
Eri Hozumi
Erika De Lone
Erika Sema
Erika Takao
Erika Valdes
Estefania Craciun
Estrella Cabeza Candela
Eudice Wong Chong
Eugenia Kulikovskaya
Eugenie Bouchard
Eva Bes Ostariz
Eva Birnerova
Eva Dyrberg
Eva Fislova
Eva Hrdinova
Evelyn Fauth
Evgeniya Rodina
Evie Dominikovic
Fabiola Zuluaga
Fangzhou Liu
Fatima El Allami
Fatma Al Nabhani
Feriel Esseghir
Flavia Pennetta
Florencia Molinero
Francesca Schiavone
Francesca Segarelli
Frederica Piedade
Gabriela Dabrowski
Gabriela Gonzalez
Gabriela Porubin
Gabrielle Baker
Gala Leon Garcia
Galina Voskoboeva
Garbine Muguruza
Geraldine Ang
Geraldine Leong
Ghada Alajeely
Gisela Dulko
Giulia Gatto Monticone
Giuliana Olmos
Glenny Cepeda
Gloria Pizzichini
Grace Min
Greta Arn
Gurianna Korinihona
Hana Sromova
Hao Chen Tang
Heather Watson
Helga Vieira
Henrieta Nagyova
Hilda Zuleta Cabrera
Hiroko Kuwata
Hjordis Rosa Gudmundsdottir
Ho Ching Wu
Ia Jikia
Ida Seljevoll Skancke
Idunn Hertzberg
Ilke Gers
Ilona Giberte
Ilona Vichnevskaya
Ina Sartz
Inna Volkovich
Ipek Senoglu
Ipek Soylu
Irina Camelia Begu
Irina Falconi
Irina Khromacheva
Irina Kuzmina
Irina Selyutina
Iroda Tulyaganova
Iryna Bremond
Isabella Escobar
Isabella Shinikova
Isaura Enrique Aguilar
Isha Lakhani
Iva Majoli
Ivana Abramovic
Ivana Lisjak
Ivanna Israilova
Iveta Benesova
Jahana Bayramova
Jamea Jackson
Jamie Hampton
Jana Cepelova
Jana Kandarr
Jana Nejedly
Jane Fennelly
Janet Lee
Janette Husarova
Jarmila Gajdosova
Jasmina Kajtazovic
Jasmina Tinjic
Jelena Dokic
Jelena Jankovic
Jelena Kostanic Tosic
Jelena Ostapenko
Jenifer Widjaja
Jenneta Halliyeva
Jennifer Capriati
Jennifer Hopkins
Jessica Fernandez
Jessica Kirkland
Jie Zheng
Jill Craybas
Jin A Lee
Jing Jing Lu
Jing Ren
Joana Cortez
Joana Eidukonyte
Joanna Sakowicz Kostecka
Joannette Kruger
Johanna De Leon
Johanna Konta
Johanna Larsson
Jorgelina Cravero
Jovana Jaksic
Juli Raventos
Julia Boserup
Julia Glushko
Julia Goerges
Julia Helbet
Julia Moriarty
Julia Schruff
Julia Vakulenko
Julie Coin
Julie Pullin
Junri Namigata
Justine Henin
Ka Po Tong
Kadija Richards
Kai Chen Chang
Kai Lin Zhang
Kaia Kanepi
Karen Barbat
Karin Knapp
Karina Ildor Jacobsgaard
Karla Golfin
Karolina Pliskova
Karolina Sprem
Karoline Borgersen
Karoline Steiro
Katalin Marosi
Katarina Misic
Katarina Srebotnik
Katarzyna Piter
Katerina Bohmova
Katerina Siniakova
Kateryna Bondarenko
Kateryna Kozlova
Katherine Ip
Kathinka Von Deichmann
Kathrin Woerle
Katie Obrien
Katrina Bandere
Kelly Liggan
Kerrie Cartwright
Kerstin Gressmann
Khanh Phi Huynh
Kiana Marshall
Kiki Bertens
Kim Clijsters
Kimberley Cassar
Kimiko Date Krumm
Kirsten Andrea Weedon
Kirsten Flipkens
Klara Koukalova
Kristen Van Elden
Kristie Boogert
Kristina Antoniychuk
Kristina Barrois
Kristina Brandi
Kristina Kucova
Kristina Mladenovic
Kristyna Pliskova
Ksenia Palkina
Ksenia Pervak
Kurumi Nara
Kveta Peschke
Kyra Nagy
Kyung Mi Chang
Lara Arruabarrena
Larikah Russell
Larissa Schaerer
Laura Granville
Laura Pous Tio
Laura Robson
Laura Siegemund
Laura Viquez
Lauren Albanese
Lauren Breadmore
Lauren Cheung
Lauren Davis
Lavinia Tananta
Leanne Baker
Lee Anne Lingo
Lenka Nemeckova
Lesia Tsurenko
Leticia Sobral
Liana Gabriela Ungur
Libuse Prusova
Lilia Osterloh
Lin Zhu
Lina Bennani
Lina Krasnoroutskaya
Lina Stanciute
Lindsay Davenport
Ling Zhang
Lioudmila Skavronskaia
Lisa Fung Kee Fung
Lisa Maria Moser
Lisa Mcshea
Lisa Raymond
Liz Cruz
Lourdes Dominguez Lino
Lubomira Bacheva
Lubomira Kurhajcova
Lucie Ahl
Lucie Hradecka
Lucie Safarova
Ludmila Cervanova
Luisa Elfride Lopez
Luksika Kumkhum
Lyudmyla Kichenok
Maarit Nieminen
Madalina Gojnea
Madison Brengle
Madison Keys
Madita Suer
Madrie Le Roux
Magali De Lattre
Magda Linette
Magda Mihalache
Magdalena Boado
Magdalena Grzybowska
Magdalena Maleeva
Magdalena Rybarikova
Magui Serna
Magy Aziz
Mai El Kamash
Mai Grage
Maja Matevzic
Mandy Minella
Mara Santangelo
Marcela Arroyo Vergara
Marcela Ivon Rodezno Hernandez
Marcela Rivero
Maret Ani
Margalita Chakhnashvili
Mari Toro
Maria Elena Camerin
Maria Emilia Salerni
Maria Eugenia Brito
Maria Eugenia Roca Recarey
Maria Fernanda Alvarez Teran
Maria Fernanda Alves
Maria Goloviznina
Maria Irigoyen
Maria Joao Koehler
Maria Jose Argeri
Maria Jose Martinez Sanchez
Maria Kirilenko
Maria Sakkari
Maria Sanchez Lorenzo
Maria Sharapova
Maria Siopacha
Maria Teresa Torro Flor
Maria Vento Kabchi
Marian Jade Capadocia
Mariana Correa
Mariana Demichelli Vergara
Mariana Diaz Oliva
Mariana Duque Marino
Marie Elise Casares
Marie Eve Pelletier
Marie Gaiane Mikaelian
Mariella Calderon
Marina Erakovic
Marina Giral Lores
Marina Novak
Marion Bartoli
Marissa Gould
Mariya Koryttseva
Mariya Kovaleva
Marlene Weingartner
Marta Domachowska
Marta Marrero
Martina Hingis
Martina Muller
Martina Navratilova
Martina Sucha
Mary Pierce
Maryna Zanevska
Masa Zec Peskiric
Mashona Washington
Mathilde Johansson
Maureen Drake
Mayar Sherif
Meghann Shaughnessy
Meilen Tu
Melanie Marois
Melanie Oudin
Melanie South
Melanie Stokke
Melinda Czink
Melisa Arevalo
Melissa Torres Sandoval
Meng Yuan
Menna El Nagdy
Mervana Jugic Salkic
Mi Ra Jeon
Mi Yoo
Michaela Pastikova
Michaella Krajicek
Michelle Larcher De Brito
Michelle Marie Valdez
Michelle Pang
Miho Saeki
Milagros Sequera
Miriam Oremans
Mirjana Lucic
Misa Eguchi
Misaki Doi
Mona Barthel
Monica Matias
Monica Niculescu
Monica Poveda
Monica Puig
Monica Seles
Monique Adamczak
Montserrat Gonzalez
Myriam Casanova
Na Lae Han
Na Li
Na Ri Kim
Nadejda Ostrovskaya
Nadia Lalami
Nadia Petrova
Nadiya Kichenok
Nadja Roma
Nan Nan Liu
Nantenaina Ramalalaharivololona
Nao Hibino
Naomi Broady
Naomi Osaka
Napaporn Tongsalee
Nastassja Burnett
Nastja Kolar
Natalia Gussoni
Natalie Grandin
Natasha Fourouclas
Nathalie Dechy
Nathalie Vierin
Neha Uberoi
Nethmi Himashi Waduge
Nicha Lertpitaksinchai
Nicole Gibbs
Nicole Kriz
Nicole Pratt
Nicole Rencken
Nicole Sewell
Nicole Vaidisova
Nigina Abduraimova
Nihal Tarek Saleh
Nikkita Fountain
Nikola Hofmanova
Nina Bratchikova
Nina Munch Soegaard
Noha Mohsen
Noppawan Lertcheewakarn
Nour Abbes
Nungnadda Wannasuk
Nuria Llagostera Vives
Ofri Lankri
Oksana Kalashnikova
Ola Abou Zekry
Olena Antypina
Olfa Dhaoui
Olga Barabanschikova
Olga Cosic
Olga Dzuba
Olga Govortsova
Olga Kalyuzhnaya
Olga Puchkova
Olga Savchuk
Olga Terteac
Olivia Bennett
Olivia Rogowska
Olivia Sanchez
Ons Jabeur
Paola Suarez
Patricia Ku Flores
Patricia Mayr Achleitner
Patricia Wartusch
Patty Schnyder
Paula Cristina Goncalves
Paula Ormaechea
Paulina Schippers
Pauline Parmentier
Pemra Ozgen
Petra Cetkovska
Petra Kvitova
Petra Mandula
Petra Martic
Petra Russegger
Pichaya Laosirichon
Piia Suomalainen
Po Kuen Lam
Polona Hercog
Polona Rebersak
Poojashree Venkatesha
Prariyawan Ratanakrong
Prarthana G Thombare
Qiang Wang
Rachael Dillon
Rachel Mcquillan
Rachel Viollet
Raluca Olaru
Rebecca Marino
Rebecca Peterson
Regina Kulikova
Reka Luca Jani
Renata Voracova
Rheeya Doshi
Richel Hogenkamp
Rika Fujiwara
Rishika Sunkara
Rita Grande
Rita Kuti Kis
Roberta Vinci
Rochelle Rosenfield
Romina Oprandi
Rosaline Zafir Chavez Tello
Rosana De Los Rios
Roxane Vaisemberg
Rushmi Chakravarthi
Ryoko Fuda
Sabina Mediano Alvarez
Sabina Sharipova
Sabine Lisicki
Sabrina Eisenberg
Sacha Jones
Sachia Vickery
Sachie Ishizu
Sahar Amini Hajibashi
Saira Sanchinelli
Saisai Zheng
Sally Peers
Salome Devidze
Samantha Crawford
Samantha Reeves
Samantha Stosur
Sana Ben Salah
Sandra Kleinova
Sandra Kloesel
Sandra Samir
Sandra Zahlavova
Sandrine Testud
Sandy Gumulya
Sania Mirza
Sanja Ancic
Saori Obata
Sara Errani
Sarah Al Balushi
Sarah Borwell
Sarah Gronert
Sarah Stone
Sarah Taylor
Sarah Wetz
Seda Noorlander
Selima Sfar
Serena Williams
Sesil Karatantcheva
Severine Beltrame
Sevil Aliyeva
Shahar Peer
Sharon Fichman
Shelby Rogers
Shelley Bryce
Shenay Perry
Shikha Uberoi
Shinobu Asagoe
Shuai Peng
Shuai Zhang
Shuko Aoyama
Sidonia Wolfinger
Silvia Farina Elia
Silvia Hegedis
Silvia Soler Espinosa
Silvija Talaja
Simona Halep
Simone Pratt
Sloane Stephens
So Jung Kim
Sofia Arvidsson
Sofia Shapatava
Sonya Kumar
Sophie Ferguson
Sorana Cirstea
Stanislava Cozirscaia
Stefanie Tan
Stefanie Voegele
Stephanie Cohen Aloro
Stephanie Dubois
Stephanie Foretz Gacon
Stephanie Schaer
Stephanie Vogt
Storm Sanders
Su Jeong Jang
Su Wei Hsieh
Suchanun Viratprasert
Sunitha Rao
Suzelle Davin
Svenja Weidemann
Svetlana Kuznetsova
Sybille Bammer
Tadeja Majeric
Tamarine Tanasugarn
Tamira Paszek
Tamitha Nguyen
Tanja Ostertag
Tara Moore
Tara Snyder
Tathiana Garbin
Tatia Mikadze
Tatiana Golovin
Tatiana Panova
Tatiana Perebiynis
Tatiana Poutchek
Tatjana Malek
Tatjana Maria
Tatyana Ignatchenko
Taylor Townsend
Teliana Pereira
Tereza Smitkova
Tetiana Luzhanska
Thi Tam Hao Tran
Tian Tian Sun
Tiffany Welford
Timea Babos
Timea Bacsinszky
Tina Pisnik
Ting Fei Juan
Tsvetana Pironkova
Tyler Smith
Tzipi Obziler
Ulrikke Eikeri
Urszula Radwanska
Ushna Suhail
Valentina Castro
Valentini Grammatikopoulou
Valeria Khazova
Valeria Savinykh
Valerie Tetreault
Vanessa Boey
Vanessa Henke
Vanessa Webb
Vania King
Varvara Lepchenko
Vasilisa Bardina
Venus Williams
Vera Dushevina
Vera Zvonareva
Veronica Cepede Royg
Vesna Dolonc
Victoria Azarenka
Victoria Duval
Victoria Larriere
Viktoria Kutuzova
Viktorija Golubic
Viky Nunez Fuentes
Vilmarie Castellvi
Virginia Ruano Pascual
Virginie Razzano
Vitalia Diatchenko
Wei Ping Lee
Wing Yau Venise Chan
Wynne Prakusya
Ximena Hermoso
Xinyun Han
Yafan Wang
Yamile Fors Guerra
Yan Chong Chen
Yanet Nunez Mojarena
Yanina Wickmayer
Yaroslava Shvedova
Yi Fan Xu
Yi Jing Zhao
Ying Ying Duan
Yolimar Ogando
Yomna Farid
Yoon Jeong Cho
Yuka Yoshida
Yulia Fedossova
Yulia Putintseva
Yuliana Fedak
Yuliana Lizarazo
Yuliya Beygelzimer
Yung Jan Chan
Yvonne Doyle
Yvonne Meusburger
Zarina Diyas
Zhamilia Duisheeva
Zi Jun Yang
Zi Yan
Zsofia Gubacsi
Zuzana Kucova
Zuzana Ondraskova

